From,To
Aquasonic (Tadeo Forestieri),Frozen (Kim Tae-il) (Kim Tae-il (김태일))
Aquasonic (Tadeo Forestieri),Focus (Choi Ji-hun (최지훈))
Aquasonic (Tadeo Forestieri),Crecre (Gabriel Grimaldi)
Aquasonic (Tadeo Forestieri),Shu Hari (Diego Placencia)
Aquasonic (Tadeo Forestieri),David (Lee Seung-hoo (이승후))
Monsieur (Harvey Betancourt),Frozen (Kim Tae-il) (Kim Tae-il (김태일))
Monsieur (Harvey Betancourt),Focus (Choi Ji-hun (최지훈))
Monsieur (Harvey Betancourt),Crecre (Gabriel Grimaldi)
Monsieur (Harvey Betancourt),David (Lee Seung-hoo (이승후))
Unforgiven (Maximiliano Utrero) (Maximiliano Utrero),Frozen (Kim Tae-il) (Kim Tae-il (김태일))
Unforgiven (Maximiliano Utrero) (Maximiliano Utrero),Focus (Choi Ji-hun (최지훈))
Unforgiven (Maximiliano Utrero) (Maximiliano Utrero),Crecre (Gabriel Grimaldi)
Unforgiven (Maximiliano Utrero) (Maximiliano Utrero),David (Lee Seung-hoo (이승후))
Frozen (Kim Tae-il) (Kim Tae-il (김태일)),Focus (Choi Ji-hun (최지훈))
Frozen (Kim Tae-il) (Kim Tae-il (김태일)),Crecre (Gabriel Grimaldi)
Frozen (Kim Tae-il) (Kim Tae-il (김태일)),Shu Hari (Diego Placencia)
Frozen (Kim Tae-il) (Kim Tae-il (김태일)),David (Lee Seung-hoo (이승후))
Focus (Choi Ji-hun (최지훈)),Crecre (Gabriel Grimaldi)
Focus (Choi Ji-hun (최지훈)),Shu Hari (Diego Placencia)
Focus (Choi Ji-hun (최지훈)),David (Lee Seung-hoo (이승후))
Crecre (Gabriel Grimaldi),David (Lee Seung-hoo (이승후))
Shu Hari (Diego Placencia),David (Lee Seung-hoo (이승후))
Parang (Lee Sang-won (이상원)),Nova (Kim Dong-hyeon) (Kim Dong-hyeon (김동현))
Parang (Lee Sang-won (이상원)),Plugo (Joaquín Pérez)
Parang (Lee Sang-won (이상원)),Zeicro (Juan Fierro)
Parang (Lee Sang-won (이상원)),Newbie (Leandro Marcos)
Parang (Lee Sang-won (이상원)),Stardust (Son Seok-hee) (Son Seok-hee (손석희))
Nova (Kim Dong-hyeon) (Kim Dong-hyeon (김동현)),Plugo (Joaquín Pérez)
Nova (Kim Dong-hyeon) (Kim Dong-hyeon (김동현)),Zeicro (Juan Fierro)
Nova (Kim Dong-hyeon) (Kim Dong-hyeon (김동현)),Newbie (Leandro Marcos)
Nova (Kim Dong-hyeon) (Kim Dong-hyeon (김동현)),Stardust (Son Seok-hee) (Son Seok-hee (손석희))
Plugo (Joaquín Pérez),Zeicro (Juan Fierro)
Plugo (Joaquín Pérez),Stardust (Son Seok-hee) (Son Seok-hee (손석희))
Zeicro (Juan Fierro),Newbie (Leandro Marcos)
Zeicro (Juan Fierro),Stardust (Son Seok-hee) (Son Seok-hee (손석희))
Newbie (Leandro Marcos),Stardust (Son Seok-hee) (Son Seok-hee (손석희))
Aloned (Tomás Díaz),Emp (Benjamín Ramírez)
Aloned (Tomás Díaz),Bvoy (Ju Yeong-hoon (주영훈))
Aloned (Tomás Díaz),Onur (Rodrigo Dalmagro)
Josedeodo (Brandon Joel Villegas),Emp (Benjamín Ramírez)
Josedeodo (Brandon Joel Villegas),Bvoy (Ju Yeong-hoon (주영훈))
Josedeodo (Brandon Joel Villegas),Onur (Rodrigo Dalmagro)
Emp (Benjamín Ramírez),Bvoy (Ju Yeong-hoon (주영훈))
Emp (Benjamín Ramírez),Shadow (Facundo Cuello) (Facundo Cuello)
